"Step","128 - rollout/ep_rew_mean","128 - rollout/ep_rew_mean__MIN","128 - rollout/ep_rew_mean__MAX","64 - rollout/ep_rew_mean","64 - rollout/ep_rew_mean__MIN","64 - rollout/ep_rew_mean__MAX","32 - rollout/ep_rew_mean","32 - rollout/ep_rew_mean__MIN","32 - rollout/ep_rew_mean__MAX"
"51","-1.6373213529586792","-1.6373213529586792","-1.6373213529586792","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"52","-1.2740765810012817","-1.2740765810012817","-1.2740765810012817","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"53","-1.2740765810012817","-1.2740765810012817","-1.2740765810012817","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"54","-1.2740765810012817","-1.2740765810012817","-1.2740765810012817","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"55","-1.2740765810012817","-1.2740765810012817","-1.2740765810012817","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"56","-1.2740765810012817","-1.2740765810012817","-1.2740765810012817","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"57","-1.2740765810012817","-1.2740765810012817","-1.2740765810012817","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"58","-1.1935923099517822","-1.1935923099517822","-1.1935923099517822","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"59","-1.1935923099517822","-1.1935923099517822","-1.1935923099517822","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"60","-1.1935923099517822","-1.1935923099517822","-1.1935923099517822","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"61","-1.1935923099517822","-1.1935923099517822","-1.1935923099517822","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"62","-1.1935923099517822","-1.1935923099517822","-1.1935923099517822","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"63","-1.1935923099517822","-1.1935923099517822","-1.1935923099517822","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"64","-0.9651877284049988","-0.9651877284049988","-0.9651877284049988","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
