"Step","Batch Size = 32768 - rollout/ep_rew_mean","Batch Size = 32768 - rollout/ep_rew_mean__MIN","Batch Size = 32768 - rollout/ep_rew_mean__MAX","Batch Size = 16384 - rollout/ep_rew_mean","Batch Size = 16384 - rollout/ep_rew_mean__MIN","Batch Size = 16384 - rollout/ep_rew_mean__MAX","Batch Size = 8192 - rollout/ep_rew_mean","Batch Size = 8192 - rollout/ep_rew_mean__MIN","Batch Size = 8192 - rollout/ep_rew_mean__MAX","Batch Size = 2048 - rollout/ep_rew_mean","Batch Size = 2048 - rollout/ep_rew_mean__MIN","Batch Size = 2048 - rollout/ep_rew_mean__MAX"
"21","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"22","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"23","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"24","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"25","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"26","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"27","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"28","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"29","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"30","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
