"Step","With Normalization - rollout/ep_rew_mean","With Normalization - rollout/ep_rew_mean__MIN","With Normalization - rollout/ep_rew_mean__MAX","Without Normalization - rollout/ep_rew_mean","Without Normalization - rollout/ep_rew_mean__MIN","Without Normalization - rollout/ep_rew_mean__MAX"
"37","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"38","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"39","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"40","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"41","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"42","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"43","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"44","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"45","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"46","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"47","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"48","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"49","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"50","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"51","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"52","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"53","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"54","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"55","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"56","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"57","-0.9866033792495728","-0.9866033792495728","-0.9866033792495728","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"58","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"59","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"60","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"61","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"62","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"63","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"64","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"65","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"66","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"67","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"68","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"69","-0.7270187735557556","-0.7270187735557556","-0.7270187735557556","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"70","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"71","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"72","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"73","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"74","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"75","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"76","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"77","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"78","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"79","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"80","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"81","-0.4567793905735016","-0.4567793905735016","-0.4567793905735016","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"82","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"83","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"84","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"85","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"86","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"87","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"88","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"89","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"90","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"91","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"92","0.04931369423866272","0.04931369423866272","0.04931369423866272","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"93","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"94","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"95","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"96","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"97","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"98","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"99","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"100","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"101","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"102","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
