"Step","Absolute Mode - rollout/ep_rew_mean","Absolute Mode - rollout/ep_rew_mean__MIN","Absolute Mode - rollout/ep_rew_mean__MAX","Relative Mode - rollout/ep_rew_mean","Relative Mode - rollout/ep_rew_mean__MIN","Relative Mode - rollout/ep_rew_mean__MAX"
"64","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"65","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"66","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"67","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"68","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"69","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"70","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"71","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"72","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"73","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"74","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"75","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"76","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"77","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"78","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"79","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"80","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"81","-1.1078722476959229","-1.1078722476959229","-1.1078722476959229","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734"
"82","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"83","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"84","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"85","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"86","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"87","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"88","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"89","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"90","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"91","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
