"Step","Run 1 - rollout/ep_rew_mean","Run 1 - rollout/ep_rew_mean__MIN","Run 1 - rollout/ep_rew_mean__MAX","Run 2 - rollout/ep_rew_mean","Run 2 - rollout/ep_rew_mean__MIN","Run 2 - rollout/ep_rew_mean__MAX"
"31","-51.68272018432617","-51.68272018432617","-51.68272018432617","-54.832828521728516","-54.832828521728516","-54.832828521728516"
"32","-51.77302551269531","-51.77302551269531","-51.77302551269531","-50.609867095947266","-50.609867095947266","-50.609867095947266"
"33","-51.75082778930664","-51.75082778930664","-51.75082778930664","-50.46751022338867","-50.46751022338867","-50.46751022338867"
"34","-51.687461853027344","-51.687461853027344","-51.687461853027344","-50.47956848144531","-50.47956848144531","-50.47956848144531"
"35","-51.74439239501953","-51.74439239501953","-51.74439239501953","-50.5142936706543","-50.5142936706543","-50.5142936706543"
"36","-51.70563888549805","-51.70563888549805","-51.70563888549805","-50.433837890625","-50.433837890625","-50.433837890625"
"37","-51.70925521850586","-51.70925521850586","-51.70925521850586","-50.468563079833984","-50.468563079833984","-50.468563079833984"
"38","-51.7247428894043","-51.7247428894043","-51.7247428894043","-50.51600646972656","-50.51600646972656","-50.51600646972656"
"39","-50.95110321044922","-50.95110321044922","-50.95110321044922","-50.51055908203125","-50.51055908203125","-50.51055908203125"
"40","-50.252986907958984","-50.252986907958984","-50.252986907958984","-50.49386215209961","-50.49386215209961","-50.49386215209961"
"41","-59.65403747558594","-59.65403747558594","-59.65403747558594","-50.5350227355957","-50.5350227355957","-50.5350227355957"
"42","-50.394554138183594","-50.394554138183594","-50.394554138183594","-50.51237487792969","-50.51237487792969","-50.51237487792969"
"43","-50.316287994384766","-50.316287994384766","-50.316287994384766","-57.25152587890625","-57.25152587890625","-57.25152587890625"
"44","-50.31502914428711","-50.31502914428711","-50.31502914428711","-60.733306884765625","-60.733306884765625","-60.733306884765625"
"45","-50.28955841064453","-50.28955841064453","-50.28955841064453","-50.47529602050781","-50.47529602050781","-50.47529602050781"
"46","-50.393882751464844","-50.393882751464844","-50.393882751464844","-50.500919342041016","-50.500919342041016","-50.500919342041016"
"47","-50.34181213378906","-50.34181213378906","-50.34181213378906","-50.50410079956055","-50.50410079956055","-50.50410079956055"
"48","-50.3702507019043","-50.3702507019043","-50.3702507019043","-50.47114562988281","-50.47114562988281","-50.47114562988281"
"49","-50.36309051513672","-50.36309051513672","-50.36309051513672","-50.48674011230469","-50.48674011230469","-50.48674011230469"
"50","-50.30164337158203","-50.30164337158203","-50.30164337158203","-50.4619140625","-50.4619140625","-50.4619140625"
"51","-50.30249786376953","-50.30249786376953","-50.30249786376953","-50.50508117675781","-50.50508117675781","-50.50508117675781"
"52","-50.379051208496094","-50.379051208496094","-50.379051208496094","-50.446372985839844","-50.446372985839844","-50.446372985839844"
"53","-50.32943344116211","-50.32943344116211","-50.32943344116211","-50.4433708190918","-50.4433708190918","-50.4433708190918"
"54","-50.34096908569336","-50.34096908569336","-50.34096908569336","-50.3919792175293","-50.3919792175293","-50.3919792175293"
"55","-50.309024810791016","-50.309024810791016","-50.309024810791016","-50.423423767089844","-50.423423767089844","-50.423423767089844"
"56","-50.33877944946289","-50.33877944946289","-50.33877944946289","-50.5003662109375","-50.5003662109375","-50.5003662109375"
