"Step","[256,128,64] - rollout/ep_rew_mean","[256,128,64] - rollout/ep_rew_mean__MIN","[256,128,64] - rollout/ep_rew_mean__MAX","[256,128] - rollout/ep_rew_mean","[256,128] - rollout/ep_rew_mean__MIN","[256,128] - rollout/ep_rew_mean__MAX","[128,64] - rollout/ep_rew_mean","[128,64] - rollout/ep_rew_mean__MIN","[128,64] - rollout/ep_rew_mean__MAX"
"93","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"94","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"95","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"96","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"97","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"98","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"99","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"100","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"101","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"102","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"103","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"104","-0.9223019480705261","-0.9223019480705261","-0.9223019480705261","-1.2544670104980469","-1.2544670104980469","-1.2544670104980469","-3.301389217376709","-3.301389217376709","-3.301389217376709"
"105","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
