"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"42","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"43","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"44","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"45","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"46","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"47","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"48","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"49","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"50","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"51","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"52","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
