timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,pose_command_0,pose_command_1,pose_command_2,pose_command_3,pose_command_4,pose_command_5,pose_command_6,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6
0,-0.11373184621334076,0.2704475522041321,0.27981212735176086,-0.10892455279827118,-0.028295205906033516,0.990257740020752,0.08248919248580933,-0.14995762705802917,0.24990741908550262,0.09993106871843338,2.7613226848188788e-05,1.0000373125076294,-6.858079723315313e-05,-9.690709703136235e-06,-0.955145001411438,0.8767897486686707,-3.574286699295044,-0.6491196155548096,2.008962631225586,0.6258429884910583,-0.3522738218307495
1,-0.14301593601703644,0.2736205458641052,0.2458084523677826,-0.14926381409168243,-0.08556681126356125,0.982948899269104,0.06470000743865967,-0.14991065859794617,0.24998117983341217,0.09995722025632858,-4.851637640967965e-06,1.0000327825546265,-9.53703565755859e-05,-1.6927318938542157e-05,-0.7395780086517334,2.091298818588257,-2.592487335205078,0.33261334896087646,2.29418683052063,-0.3474467396736145,-0.27959051728248596
2,-0.17361102998256683,0.2695431709289551,0.2126206010580063,-0.18911007046699524,-0.14045260846614838,0.9706846475601196,0.046944815665483475,-0.14996401965618134,0.2499934881925583,0.10004518926143646,4.2144434701185673e-05,1.0000789165496826,-3.803733125096187e-05,-4.0805942262522876e-05,-0.27781951427459717,1.3981667757034302,-1.8480583429336548,0.10210832953453064,2.2876999378204346,-0.0933757871389389,-0.23443999886512756
3,-0.18001535534858704,0.2629048824310303,0.17461654543876648,-0.20033007860183716,-0.17431896924972534,0.9637886881828308,0.02240043878555298,-0.14997978508472443,0.24996651709079742,0.09995687007904053,1.453540608054027e-05,0.9999961853027344,-1.9436440197750926e-05,-3.1870658858679235e-05,0.09420623630285263,1.2487667798995972,-1.5145047903060913,0.024988709017634392,2.2516696453094482,0.32547158002853394,-0.15732477605342865
4,-0.1753772348165512,0.2681717276573181,0.14171993732452393,-0.23072846233844757,-0.10624043643474579,0.9671502113342285,0.0016352774109691381,-0.15007194876670837,0.2499689906835556,0.1000552698969841,-1.1874355550389737e-05,1.0000261068344116,-5.640577364829369e-05,9.567072993377224e-05,0.23348218202590942,1.087754487991333,-1.0061874389648438,-0.035816341638565063,2.250094413757324,0.49556952714920044,-0.11121618747711182
5,-0.17535555362701416,0.2718278169631958,0.11338501423597336,-0.2693334221839905,-0.03421098738908768,0.9622530937194824,-0.01455753669142723,-0.14991635084152222,0.24990685284137726,0.1000603586435318,9.617485193302855e-05,0.9999960660934448,-5.230597889749333e-05,-1.4688259398099035e-05,0.14449989795684814,0.7159258127212524,-0.5443256497383118,-0.11882877349853516,2.249729633331299,0.6161180138587952,-0.13459116220474243
6,-0.16905367374420166,0.2729361653327942,0.0935455858707428,-0.28584808111190796,0.030344119295477867,0.9576559662818909,-0.014692596159875393,-0.1499609798192978,0.25002115964889526,0.10002071410417557,1.9071543647442013e-05,0.9999042749404907,5.558784323511645e-05,-1.3746583135798573e-05,0.057329822331666946,0.47796162962913513,-0.2396254539489746,-0.12044644355773926,2.1959753036499023,0.7057523727416992,-0.13859015703201294
7,-0.1557275503873825,0.2740497589111328,0.08333952724933624,-0.27649080753326416,0.08372723311185837,0.957256555557251,0.01040805783122778,-0.14998023211956024,0.2499406486749649,0.09991104155778885,2.089114423142746e-05,1.000097632408142,-9.169732220470905e-05,-7.067360274959356e-05,-0.09421420842409134,0.3336932957172394,-0.005719192326068878,-0.11768004298210144,2.131213903427124,0.7328600287437439,-0.17467491328716278
8,-0.15577444434165955,0.2616897225379944,0.07073536515235901,-0.25961044430732727,0.10955451428890228,0.9593310952186584,0.020595859736204147,-0.15005375444889069,0.25008833408355713,0.0999232679605484,6.0481812397483736e-05,1.0000790357589722,8.503774733981118e-05,-9.722905087983236e-05,-0.34211909770965576,0.2501557171344757,0.12337791174650192,-0.10468460619449615,2.060547351837158,0.7333075404167175,-0.21220028400421143
9,-0.1601283848285675,0.2487354427576065,0.06423769146203995,-0.22553323209285736,0.1007395014166832,0.9683570861816406,0.035647209733724594,-0.15009088814258575,0.24996225535869598,0.10002986341714859,-8.235983841586858e-05,1.0000003576278687,7.183443085523322e-05,-7.31145846657455e-05,-0.38246798515319824,0.3970406651496887,0.26706254482269287,-0.054841816425323486,2.0412955284118652,0.7342509627342224,-0.20043574273586273
