timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,pose_command_0,pose_command_1,pose_command_2,pose_command_3,pose_command_4,pose_command_5,pose_command_6,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6
0,-0.04502197355031967,0.3063695728778839,0.26360249519348145,-0.09920788556337357,0.11161091923713684,0.988152801990509,0.03643294796347618,0.06279704719781876,0.2864730954170227,0.29830196499824524,9.620593482395634e-05,-0.37246567010879517,0.928057849407196,7.215984078356996e-05,0.5335367918014526,0.20924584567546844,0.9909860491752625,0.3650713562965393,-0.21069686114788055,0.2521246671676636,-0.194346621632576
1,-0.017334168776869774,0.29297319054603577,0.30036643147468567,-0.05507267266511917,0.10935291647911072,0.9908097982406616,0.05694235488772392,0.06283500790596008,0.2864883542060852,0.29838111996650696,-6.550013495143503e-05,-0.37238773703575134,0.9281435012817383,-5.757654435001314e-06,0.2387745976448059,-0.017344413325190544,0.5062245726585388,0.08057957142591476,-0.2827383279800415,0.25745606422424316,-0.21448196470737457
2,0.005550686735659838,0.27294203639030457,0.31759557127952576,-0.022009868174791336,0.11003105342388153,0.9925647377967834,0.04894702509045601,0.06274224817752838,0.2865920960903168,0.2983974516391754,-9.585238149156794e-05,-0.3724634051322937,0.9280319809913635,-8.94906697794795e-05,0.24159812927246094,0.26601642370224,0.27824580669403076,0.09968707710504532,-0.33759158849716187,0.22537903487682343,-0.1949295848608017
3,0.03278898447751999,0.2736682593822479,0.3178384304046631,0.009689925238490105,0.09240054339170456,0.9949985146522522,0.037805285304784775,0.06270343065261841,0.28660130500793457,0.29830804467201233,-1.1690135579556227e-06,-0.3724270462989807,0.9281458258628845,-6.793298234697431e-05,0.1869123876094818,0.5067722797393799,0.1918197125196457,0.025101222097873688,-0.4110449552536011,0.20170117914676666,-0.19957445561885834
4,0.03937539830803871,0.27689462900161743,0.31142696738243103,0.019867518916726112,0.04162727668881416,0.9988636374473572,0.003161287633702159,0.06271504610776901,0.28658732771873474,0.29836538434028625,8.477872324874625e-05,-0.3724777102470398,0.9279701709747314,-9.451665391679853e-06,0.09137117117643356,0.5474603176116943,0.22714827954769135,-0.035021282732486725,-0.45450443029403687,0.18312139809131622,-0.21581779420375824
5,0.0403921976685524,0.2748049795627594,0.30888789892196655,0.02500973269343376,-0.013372642919421196,0.9988429546356201,-0.03861422836780548,0.06279096752405167,0.28648367524147034,0.29828697443008423,-6.1004826420685276e-05,-0.372396856546402,0.9281342029571533,9.867845074040815e-05,0.07579050213098526,0.4963758885860443,0.26772743463516235,-0.023206867277622223,-0.45313894748687744,0.16060440242290497,-0.2013118416070938
6,0.04751555994153023,0.27823007106781006,0.309887558221817,0.03714391961693764,-0.061607684940099716,0.9952878952026367,-0.06480518728494644,0.0627131313085556,0.28648605942726135,0.29820775985717773,-7.297775300685316e-05,-0.3723795711994171,0.9279998540878296,8.695933502167463e-06,0.0876360759139061,0.4681995213031769,0.26670366525650024,-0.009206034243106842,-0.4347626566886902,0.14930617809295654,-0.16441093385219574
7,0.05161706358194351,0.28342026472091675,0.3089464008808136,0.042829375714063644,-0.10679907351732254,0.9899568557739258,-0.08261645585298538,0.06271068751811981,0.28655868768692017,0.2982664108276367,-5.538864934351295e-05,-0.3723970651626587,0.9281371235847473,-8.075025107245892e-06,0.07674538344144821,0.4336681365966797,0.2620238959789276,-0.02267347276210785,-0.40957170724868774,0.14917665719985962,-0.13242174685001373
8,0.05373380705714226,0.28717508912086487,0.30611205101013184,0.04426955059170723,-0.14723744988441467,0.9835103750228882,-0.09587035328149796,0.06276405602693558,0.2865273058414459,0.2983383238315582,-5.708631579182111e-05,-0.3723905384540558,0.9280765056610107,6.659338396275416e-05,0.07701172679662704,0.3922252953052521,0.27025091648101807,-0.023995064198970795,-0.3730524182319641,0.1520576924085617,-0.10251103341579437
9,0.055067747831344604,0.28900814056396484,0.30317223072052,0.04147900268435478,-0.18252380192279816,0.9766585826873779,-0.1053251102566719,0.06265103816986084,0.28656360507011414,0.2983230650424957,1.742292079143226e-05,-0.37239566445350647,0.9279495477676392,-7.915477181086317e-05,0.08133513480424881,0.3532053232192993,0.28797006607055664,-0.02341565489768982,-0.3301836848258972,0.15881070494651794,-0.07228387892246246
10,0.056020453572273254,0.2901957929134369,0.3011726140975952,0.036253709346055984,-0.21355098485946655,0.9700325131416321,-0.11005761474370956,0.06271101534366608,0.286525696516037,0.2982856333255768,2.978054544655606e-05,-0.37247055768966675,0.9280802011489868,9.200999193126336e-05,0.0840904638171196,0.32306063175201416,0.30118894577026367,-0.02219928801059723,-0.2874840497970581,0.16746030747890472,-0.04415251314640045
11,0.05679507181048393,0.29077795147895813,0.29985693097114563,0.029910102486610413,-0.24157290160655975,0.9635363817214966,-0.11107439547777176,0.06278855353593826,0.286504864692688,0.2983403205871582,3.9149388612713665e-05,-0.3725273907184601,0.9280129075050354,6.534072599606588e-05,0.0865231528878212,0.3003820776939392,0.30857759714126587,-0.019426338374614716,-0.24892325699329376,0.17590849101543427,-0.02229289710521698
12,0.057689547538757324,0.29144978523254395,0.2987406849861145,0.023197632282972336,-0.2673526108264923,0.9571446776390076,-0.10881849378347397,0.06271450966596603,0.28656095266342163,0.2982725203037262,-9.862550359684974e-05,-0.37235820293426514,0.9280682802200317,-8.821189112495631e-06,0.08815977722406387,0.28573307394981384,0.31285107135772705,-0.01608847826719284,-0.2150379866361618,0.18342410027980804,-0.005300566554069519
13,0.057887155562639236,0.2915782630443573,0.2976798713207245,0.015595702454447746,-0.2919718623161316,0.9505993127822876,-0.10491856932640076,0.06278111785650253,0.2866124212741852,0.2983834743499756,9.677849448053166e-05,-0.3724416196346283,0.9280946850776672,1.9888619135599583e-05,0.08712392300367355,0.27427545189857483,0.3161119222640991,-0.013555437326431274,-0.18488238751888275,0.19007039070129395,0.007501646876335144
14,0.058649130165576935,0.2915665805339813,0.2971971035003662,0.008553177118301392,-0.31505903601646423,0.9436832666397095,-0.09959464520215988,0.06282666325569153,0.2865908741950989,0.2983497679233551,-5.0284743338124827e-05,-0.37250638008117676,0.9280508160591125,1.5949153748806566e-05,0.08867239207029343,0.26710665225982666,0.3197082281112671,-0.008205108344554901,-0.15729670226573944,0.19579552114009857,0.017183586955070496
15,0.059062086045742035,0.29181918501853943,0.2967971861362457,0.001533715520054102,-0.3375367224216461,0.9368324279785156,-0.09260295331478119,0.06266304850578308,0.28659385442733765,0.29824748635292053,3.035544796148315e-05,-0.37248268723487854,0.9280155897140503,-7.145084964577109e-06,0.0873880460858345,0.26115238666534424,0.31887197494506836,-0.005711764097213745,-0.13237251341342926,0.2013702541589737,0.025437280535697937
16,0.05939134955406189,0.29174643754959106,0.29610756039619446,-0.005359744653105736,-0.3593066334724426,0.9293495416641235,-0.08470004796981812,0.06275773048400879,0.28657248616218567,0.298365980386734,9.52731425059028e-05,-0.3724731504917145,0.9279728531837463,7.195967918960378e-05,0.08635067194700241,0.25674015283584595,0.31791335344314575,-0.0022202730178833008,-0.10914839804172516,0.20630350708961487,0.03136985003948212
17,0.05976912006735802,0.29175716638565063,0.29559874534606934,-0.01181749626994133,-0.38031357526779175,0.921680748462677,-0.07636850327253342,0.06272303313016891,0.2865321636199951,0.2983377277851105,1.1283082130830735e-05,-0.37239569425582886,0.9281089305877686,7.8351549746003e-05,0.0867810919880867,0.2543719410896301,0.3204275369644165,0.0020371228456497192,-0.0870935469865799,0.21114155650138855,0.036040619015693665
18,0.06028797850012779,0.29160091280937195,0.2953878343105316,-0.017531519755721092,-0.39475762844085693,0.9162319302558899,-0.06728973239660263,0.06265388429164886,0.2866280674934387,0.298392117023468,5.0796450523193926e-05,-0.37243497371673584,0.9279935359954834,-4.86070457554888e-05,0.08594901114702225,0.25052547454833984,0.32011860609054565,0.004641279578208923,-0.06607161462306976,0.21599726378917694,0.04034020006656647
19,0.060617707669734955,0.29155904054641724,0.2950710356235504,-0.021832257509231567,-0.39850977063179016,0.9150657057762146,-0.05847027897834778,0.06280789524316788,0.2865983843803406,0.298215389251709,6.774705980205908e-05,-0.3724736273288727,0.9280015826225281,3.4484277421142906e-05,0.08284995704889297,0.25170212984085083,0.31969261169433594,0.006805308163166046,-0.05223618447780609,0.21906350553035736,0.04063211381435394
20,0.060878388583660126,0.2908362150192261,0.2950601279735565,-0.025567620992660522,-0.39801743626594543,0.9156289100646973,-0.05171032249927521,0.06273148953914642,0.2865528166294098,0.2982724606990814,-8.978687401395291e-05,-0.3723677694797516,0.9280468821525574,-1.4213415852282196e-05,0.0785781666636467,0.2541363835334778,0.3205847144126892,0.008859530091285706,-0.04951159656047821,0.21869905292987823,0.03420226275920868
