timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,pose_command_0,pose_command_1,pose_command_2,pose_command_3,pose_command_4,pose_command_5,pose_command_6,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6
12,-0.16557033360004425,0.2531716227531433,0.10348141193389893,0.1388709992170334,-0.7146256566047668,-0.6317023038864136,0.26673611998558044,-0.1500982642173767,0.2500293254852295,0.10004813969135284,-5.532491559279151e-05,0.9999568462371826,7.807825022609904e-05,-8.497861563228071e-05,-0.24991759657859802,0.8648090958595276,0.26175832748413086,0.0437089204788208,1.186443567276001,-0.47419261932373047,0.3399827480316162
13,-0.15235204994678497,0.22450469434261322,0.09017766267061234,0.09985063970088959,-0.753345787525177,-0.5874704718589783,0.2783637046813965,-0.15008895099163055,0.25003644824028015,0.10007578134536743,-2.976469841087237e-05,1.0000139474868774,2.3429594875779003e-05,7.151363388402387e-05,0.2844630479812622,-0.07372115552425385,0.06773937493562698,0.1199612021446228,1.2035131454467773,-0.47129368782043457,-0.18090689182281494
14,-0.16460950672626495,0.25440749526023865,0.10434404015541077,0.1222589835524559,-0.7531747221946716,-0.5853569507598877,0.27371111512184143,-0.14999257028102875,0.25000062584877014,0.09999238699674606,-8.954025543062016e-05,0.9999276399612427,4.523833922576159e-06,2.6513916964177042e-05,-0.3956659138202667,1.075295329093933,0.37197911739349365,0.019907653331756592,1.1590195894241333,-0.4936370253562927,0.43667811155319214
15,-0.15208497643470764,0.22443194687366486,0.0900229662656784,0.10000475496053696,-0.7537786960601807,-0.5868186950683594,0.27815189957618713,-0.14998334646224976,0.25003308057785034,0.10001728683710098,8.254772546933964e-05,0.9999121427536011,3.112780541414395e-05,-1.1231968528591096e-05,0.3140925467014313,-0.24291126430034637,0.05530721694231033,0.09527772665023804,1.1822972297668457,-0.480202317237854,-0.20310485363006592
16,-0.16443701088428497,0.2546081244945526,0.10459072887897491,0.12268552929162979,-0.753430187702179,-0.585140585899353,0.27335840463638306,-0.14997519552707672,0.2500089704990387,0.09997653216123581,-5.2639617933891714e-05,1.000087857246399,-6.4457926782779396e-06,-9.259822400053963e-05,-0.43709269165992737,1.166644811630249,0.38085997104644775,0.015634238719940186,1.1557657718658447,-0.49975597858428955,0.46463853120803833
17,-0.1517578512430191,0.22465021908283234,0.09011875092983246,0.1001398041844368,-0.7541961073875427,-0.586664617061615,0.27781885862350464,-0.14996689558029175,0.2499508112668991,0.1000535860657692,6.155262963147834e-05,1.0000234842300415,-1.1410549632273614e-05,-6.209161801962182e-05,0.32772502303123474,-0.27018409967422485,0.06315077096223831,0.08774375915527344,1.1777403354644775,-0.48596107959747314,-0.2067543864250183
18,-0.16407088935375214,0.25492459535598755,0.10457149893045425,0.12284316122531891,-0.753850519657135,-0.5848630666732788,0.2731199860572815,-0.1499345898628235,0.2500312030315399,0.10004514455795288,-3.1031915568746626e-05,1.0000602006912231,-4.609223469742574e-05,-8.28205666039139e-05,-0.4488975703716278,1.1710213422775269,0.37641024589538574,0.011586308479309082,1.156240463256836,-0.5007749795913696,0.4662487506866455
19,-0.15152977406978607,0.22490425407886505,0.090328648686409,0.10037227720022202,-0.7545205354690552,-0.5861946940422058,0.27749618887901306,-0.1499108374118805,0.24990619719028473,0.10001121461391449,-7.260660640895367e-05,1.0000742673873901,9.941781900124624e-05,-6.349159957608208e-05,0.32627615332603455,-0.27573511004447937,0.07116539031267166,0.0863412618637085,1.1759042739868164,-0.4865521788597107,-0.20822089910507202
20,-0.16383270919322968,0.2550937533378601,0.1046856939792633,0.123207688331604,-0.7541548013687134,-0.5846347212791443,0.2727799713611603,-0.15007054805755615,0.24998636543750763,0.10005057603120804,8.868703298503533e-05,1.0000666379928589,-6.784738798160106e-05,-7.761266897432506e-05,-0.4530598223209381,1.1653035879135132,0.36927855014801025,0.008643865585327148,1.1566822528839111,-0.5005782842636108,0.4636780619621277
21,-0.1512669175863266,0.22507673501968384,0.09027453511953354,0.10055966675281525,-0.7546961903572083,-0.5860337615013123,0.2772793471813202,-0.1500335931777954,0.250073105096817,0.10006353259086609,6.846509495517239e-05,1.0000176429748535,-8.206408529076725e-05,-2.9386945243459195e-05,0.32247990369796753,-0.27588579058647156,0.07259101420640945,0.08548659086227417,1.1749927997589111,-0.4859941601753235,-0.2110934853553772
