time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/std,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
11583,524288,1,45,,,,,,,,,,,,,
12001,1048576,2,87,0.0001,-9.975062012672424,-4.110796928405762,-0.10190737247467041,1.009268045425415,0.044542789459228516,0.0056574782,8,-0.004124372424939793,0.2,0.03826846530864714,,
12205,1572864,3,128,0.0001,-10.055171929299831,-0.13418197631835938,-0.10158952325582504,1.0220947265625,0.01868128776550293,0.003719589,16,-0.0015327202288517583,0.2,0.005934283275564667,,
12295,2097152,4,170,0.0001,-10.121123623102903,0.31317079067230225,-0.10323243588209152,1.0299121141433716,0.014011144638061523,0.0032168198,24,-0.0013162243490114633,0.2,0.00371564117995149,,
12345,2621440,5,212,0.0001,-10.165220402181149,0.25150859355926514,-0.10293220728635788,1.0358318090438843,0.015417098999023438,0.0034424777,32,-0.0013899850341658748,0.2,0.003455309529272199,,
12321,3145728,6,255,0.0001,-10.203605823218822,0.4177214503288269,-0.10371574759483337,1.041804313659668,0.017609357833862305,0.0035399245,40,-0.0015589391805406194,0.2,0.002596865700070339,-3.522465078830719,360.0
12246,3670016,7,299,0.0001,-10.239860698580742,0.3174724578857422,-0.10460569709539413,1.047045350074768,0.024902820587158203,0.004122424,48,-0.002144684271343067,0.2,0.002455749856380862,-3.522465078830719,360.0
12197,4194304,8,343,0.0001,-10.273623425513506,0.4627055525779724,-0.10581140965223312,1.0525463819503784,0.031100034713745117,0.0045150192,56,-0.0026962875931531016,0.2,0.0016585148696321994,-3.522465078830719,360.0
12160,4718592,9,388,0.0001,-10.315265618264675,0.373443603515625,-0.1050494834780693,1.0592546463012695,0.02410411834716797,0.0039423984,64,-0.0020366159883451473,0.2,0.002261788346004323,-3.522465078830719,360.0
12136,5242880,10,432,0.0001,-10.353501707315445,0.5072794258594513,-0.10588914155960083,1.0649470090866089,0.02931499481201172,0.004092728,72,-0.0026190301816768624,0.2,0.0018106368011103768,-3.522465078830719,360.0
12102,5767168,11,476,0.0001,-10.386326532810926,0.4177681803703308,-0.10743989795446396,1.0696723461151123,0.0322265625,0.0042638644,80,-0.0028767062685801648,0.2,0.002032556292761001,-3.522465078830719,360.0
12038,6291456,12,522,0.0001,-10.411744188517332,0.5507784485816956,-0.10700636357069016,1.0735251903533936,0.03508734703063965,0.004525463,88,-0.003246083567773894,0.2,0.001617818439626717,-3.409778473377228,360.0
11896,6815744,13,572,0.0001,-10.430942591279745,0.4267626404762268,-0.10736364871263504,1.0766396522521973,0.03589653968811035,0.0046123187,96,-0.0030606262971559772,0.2,0.0014188867698976537,-3.409778473377228,360.0
11794,7340032,14,622,0.0001,-10.462730910629034,0.6193802952766418,-0.10767368227243423,1.0831029415130615,0.023281097412109375,0.0035938176,104,-0.0022122980590211228,0.2,0.0011160602825839305,-3.409778473377228,360.0
11740,7864320,15,669,0.0001,-10.499198287725449,0.48840612173080444,-0.10605791211128235,1.088640570640564,0.022566795349121094,0.003523474,112,-0.0018950837925331143,0.2,0.0014048375619495346,-3.409778473377228,360.0
11704,8388608,16,716,0.0001,-10.524960033595562,0.5507358014583588,-0.10722135007381439,1.0922682285308838,0.02830815315246582,0.0041761133,120,-0.0025884781621243746,0.2,0.0011283509552413307,-3.409778473377228,360.0
11681,8912896,17,762,0.0001,-10.550128310918808,0.5126500427722931,-0.10880233347415924,1.0968656539916992,0.025796890258789062,0.0039082444,128,-0.0023996758845896693,0.2,0.0011246325311731198,-3.4772056579589843,360.0
11674,9437184,18,808,0.0001,-10.579822059720755,0.283755362033844,-0.108779177069664,1.102092981338501,0.020958662033081055,0.0037465398,136,-0.0018069812617795833,0.2,0.0013483671491485438,-3.4772056579589843,360.0
11644,9961472,19,855,0.0001,-10.608255442231894,0.5099804103374481,-0.10894333571195602,1.1068910360336304,0.03191685676574707,0.004505747,144,-0.002955554696654872,0.2,0.0008061301064117288,-3.4772056579589843,360.0
11612,10485760,20,902,0.0001,-10.637821514159441,0.4166730046272278,-0.1092400923371315,1.1123542785644531,0.03297090530395508,0.0044306284,152,-0.0028947032847099763,0.2,0.00103900074145713,-3.4772056579589843,360.0
11613,11010048,21,948,0.0001,-10.660304855555296,0.5241218507289886,-0.10933221876621246,1.1160378456115723,0.02873516082763672,0.0042733,160,-0.002690325517050951,0.2,0.0008633900645236281,-3.4772056579589843,360.0
11617,11534336,22,992,0.0001,-10.68522623181343,0.30761706829071045,-0.10936596989631653,1.1216500997543335,0.020114898681640625,0.003524351,168,-0.0017600659380150319,0.2,0.0009648493100939959,-3.4772056579589843,360.0
11651,12058624,23,1034,0.0001,-10.712561313062906,0.3725557327270508,-0.1091039776802063,1.1267797946929932,0.015420675277709961,0.003083298,176,-0.0015165373927175096,0.2,0.0009690412541658588,-3.1765625429153443,360.0
11662,12582912,24,1078,0.0001,-10.73762096464634,0.3228684067726135,-0.1098143607378006,1.1317508220672607,0.01604318618774414,0.0033722706,184,-0.0014255484320528922,0.2,0.0009394591247655626,-3.1765625429153443,360.0
