time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
26424,524288,19,1,,,,,,,,,,,,,
24182,1048576,43,2,8,0.1262747198343277,0.0001,0.2,-0.09786319732666016,1.769594933546614,0.06458640098571777,-0.005508491786144987,0.9949402809143066,-8.487272604368627,0.0064325063,,
23657,1572864,66,3,16,-0.011661847122013569,0.0001,0.2,0.4292373061180115,0.14975871153001208,0.13434338569641113,-0.013851735514094798,0.9872109293937683,-8.43933911062777,0.009690249,,
23379,2097152,89,4,24,-0.028396738693118095,0.0001,0.2,0.8428234905004501,0.03360873854671809,0.19870305061340332,-0.021563465536132753,0.9793514013290405,-8.391963502392173,0.013113618,,
23272,2621440,112,5,32,-0.011099445633590221,0.0001,0.2,0.6845937669277191,0.08967066464902018,0.13319087028503418,-0.011610167439584984,0.9722477793693542,-8.347570090554655,0.009586397,,
22953,3145728,137,6,40,-0.03451782464981079,0.0001,0.2,0.9129260778427124,0.01848074665394961,0.22659063339233398,-0.024831210864476816,0.9652883410453796,-8.3042994257994,0.014912163,-0.40827416740357875,360.0
22917,3670016,160,7,48,-0.012380849570035934,0.0001,0.2,0.6997610628604889,0.08946039182774257,0.14118027687072754,-0.011578001639577451,0.9567089080810547,-8.249134941957891,0.0101679955,-0.40827416740357875,360.0
22795,4194304,184,8,56,-0.030142271891236305,0.0001,0.2,0.9216744229197502,0.017866030794721155,0.2244858741760254,-0.02555823398552093,0.9476574659347534,-8.19267006451264,0.015056921,-0.40827416740357875,360.0
22637,4718592,208,9,64,-0.013207257725298405,0.0001,0.2,0.6682576537132263,0.08266721484687878,0.11697506904602051,-0.009737819373981438,0.9381043314933777,-8.130097253713757,0.0089840945,-0.40827416740357875,360.0
22447,5242880,233,10,72,-0.025906896218657494,0.0001,0.2,0.9188775569200516,0.016801506419142243,0.20067501068115234,-0.022756502241009002,0.9265017509460449,-8.052307755220681,0.013929372,-0.40827416740357875,360.0
22254,5767168,259,11,80,-0.011546295136213303,0.0001,0.2,0.6731981933116913,0.06612257913548092,0.10436797142028809,-0.008653032941992933,0.9167329668998718,-7.985425311839208,0.008485009,-0.40827416740357875,360.0
22002,6291456,285,12,88,-0.02436620369553566,0.0001,0.2,0.9176899716258049,0.01445226653595455,0.1759018898010254,-0.019826502555361003,0.9040250182151794,-7.897101907758042,0.012778632,0.04580247125821188,360.0
21844,6815744,312,13,96,-0.012014668434858322,0.0001,0.2,0.6358719170093536,0.06502995415576152,0.08789563179016113,-0.006517056906602647,0.8938062191009521,-7.826474359026179,0.007774349,0.04580247125821188,360.0
21678,7340032,338,14,104,-0.030494514852762222,0.0001,0.2,0.9052185788750648,0.012610044343091431,0.16103649139404297,-0.017985214010195705,0.8802112340927124,-7.726779414573684,0.012151422,0.04580247125821188,360.0
21283,7864320,369,15,112,-0.013608461245894432,0.0001,0.2,0.7608339190483093,0.030483050039038062,0.1078653335571289,-0.008947338613211286,0.8673413991928101,-7.633824705844745,0.009078454,0.04580247125821188,360.0
20938,8388608,400,16,120,-0.019239649176597595,0.0001,0.2,0.912810318171978,0.009350169652407203,0.15053915977478027,-0.016616182555708292,0.8522720336914062,-7.517808898119256,0.011979349,0.04580247125821188,360.0
20625,8912896,432,17,128,-0.017910661175847054,0.0001,0.2,0.8956241309642792,0.01044384794022335,0.1333322525024414,-0.012906245412978024,0.837600588798523,-7.402341627050191,0.011182958,0.3357887624204159,360.0
20395,9437184,462,18,136,-0.00637749582529068,0.0001,0.2,0.49697238206863403,0.03533419912582758,0.06312394142150879,-0.00428057479234667,0.826744019985199,-7.317245507147163,0.0065302076,0.3357887624204159,360.0
20182,9961472,493,19,144,-0.025565769523382187,0.0001,0.2,0.8762736395001411,0.005838265224838324,0.13411474227905273,-0.013996588135910315,0.8100918531417847,-7.183590039610863,0.011363587,0.3357887624204159,360.0
19987,10485760,524,20,152,-0.016089214012026787,0.0001,0.2,0.5705075562000275,0.014666581576420867,0.08133673667907715,-0.006238771992457259,0.7974494695663452,-7.077312290202826,0.0078592785,0.3357887624204159,360.0
19817,11010048,555,21,160,-0.0243062786757946,0.0001,0.2,0.8397868424654007,0.004703976911514474,0.13394713401794434,-0.014114762786903157,0.781967043876648,-6.941052360692993,0.011496202,0.3357887624204159,360.0
19696,11534336,585,22,168,-0.016713522374629974,0.0001,0.2,0.557595819234848,0.008716462851680262,0.0899050235748291,-0.007255432612055301,0.7696049213409424,-6.830061502521858,0.0085117025,0.3357887624204159,360.0
19545,12058624,616,23,176,-0.02063509076833725,0.0001,0.2,0.8176015615463257,0.0030940826193273097,0.13333868980407715,-0.01378344191391534,0.7542165517807007,-6.688881890149787,0.0116535835,0.549337267279625,360.0
19419,12582912,647,24,184,-0.005506244022399187,0.0001,0.2,0.23642462491989136,0.01938698111280246,0.05971264839172363,-0.0033196649092133157,0.7450124621391296,-6.60165541479364,0.0063299946,0.549337267279625,360.0
19326,13107200,678,25,192,-0.023270847275853157,0.0001,0.2,0.7514996975660324,0.002638212669467066,0.13048863410949707,-0.013159718245105978,0.73094242811203,-6.467008322710171,0.011181768,0.549337267279625,360.0
19247,13631488,708,26,200,-0.013009407557547092,0.0001,0.2,0.5391127169132233,0.0037804345602125977,0.09583115577697754,-0.007861237470820015,0.7179393768310547,-6.336964821908623,0.009125663,0.549337267279625,360.0
