timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,-0.034096859395504,-0.989272952079773,0.13620801270008087,0.04029745236039162,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.04125979542732239,0.33898067474365234,0.4345826506614685,-0.03315742686390877,-0.9881995320320129,0.14470255374908447,0.03772929683327675,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.01112764235585928,0.0031675209756940603,-0.005417005158960819,0.00040133384754881263,-0.005830009933561087,-0.017000261694192886,3.0406477451324463,-0.4452438950538635,-0.11609140038490295
2,-0.030554547905921936,0.34202277660369873,0.4293488562107086,-0.03217066079378128,-0.9869964122772217,0.15345779061317444,0.03540925309062004,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.01070530153810978,0.00304212118498981,-0.005233838222920895,0.0005384603282436728,-0.005360838025808334,-0.01757301203906536,3.0387980937957764,-0.4724712371826172,-0.1090191900730133
3,-0.020281502977013588,0.34493210911750793,0.42429906129837036,-0.03117099590599537,-0.9856789112091064,0.16234934329986572,0.033288899809122086,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010273002088069916,0.002909339964389801,-0.005049753002822399,0.0006082204054109752,-0.004971224348992109,-0.017890689894557,3.0366179943084717,-0.500155508518219,-0.10255437344312668
4,-0.010429032146930695,0.34771236777305603,0.41943007707595825,-0.030162960290908813,-0.9842451214790344,0.17137238383293152,0.03135641664266586,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.00985226035118103,0.00278019648976624,-0.0048688980750739574,0.0006693783216178417,-0.004603984300047159,-0.01819945126771927,3.0340933799743652,-0.5282818675041199,-0.09666119515895844
5,-0.0009854373056441545,0.3503672778606415,0.4147385358810425,-0.029151082038879395,-0.982693076133728,0.1805225908756256,0.029600178822875023,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009443454444408417,0.0026548849418759346,-0.004691491834819317,0.0007224698201753199,-0.004258665721863508,-0.018501395359635353,3.0312085151672363,-0.5568380951881409,-0.09130450338125229
6,0.008061429485678673,0.35290074348449707,0.41022077202796936,-0.028138931840658188,-0.9810206890106201,0.18979500234127045,0.028008725494146347,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009046884253621101,0.002533463528379798,-0.004517774563282728,0.0007678775582462549,-0.003934838809072971,-0.018795164301991463,3.027949333190918,-0.5858079195022583,-0.0864497572183609
7,0.01672409474849701,0.3553166687488556,0.4058728814125061,-0.027130568400025368,-0.9792259931564331,0.19918426871299744,0.026570836082100868,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008662757463753223,0.0024159627500921488,-0.004347947891801596,0.0008059319807216525,-0.003631940111517906,-0.01907949708402157,3.0243020057678223,-0.6151734590530396,-0.08206303417682648
8,0.025015227496623993,0.357619047164917,0.4016907215118408,-0.0261284951120615,-0.9773072004318237,0.20868432521820068,0.025275588035583496,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008291197009384632,0.0023024023976176977,-0.004182187374681234,0.0008370940340682864,-0.0033493335358798504,-0.01935327611863613,3.0202550888061523,-0.6449151635169983,-0.07811129838228226
9,0.032947417348623276,0.35981178283691406,0.39767012000083923,-0.02513604611158371,-0.9752625226974487,0.218288391828537,0.024112405255436897,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.00793225597590208,0.0021927785128355026,-0.004020632244646549,0.0008616786799393594,-0.0030862661078572273,-0.01961553655564785,3.015796661376953,-0.6750118136405945,-0.07456262409687042
10,0.04053325206041336,0.36189883947372437,0.3938067853450775,-0.02415584772825241,-0.9730905294418335,0.22798919677734375,0.023071106523275375,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.007585924118757248,0.002087079454213381,-0.003863403107970953,0.0008801655494607985,-0.0028419550508260727,-0.01986546441912651,3.010916233062744,-0.7054398655891418,-0.07138616591691971
11,0.04778545722365379,0.3638841509819031,0.39009615778923035,-0.023189924657344818,-0.9707898497581482,0.2377794235944748,0.022141944617033005,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0072521367110311985,0.0019852796103805304,-0.0037105886731296778,0.0008929888717830181,-0.0026155661325901747,-0.020102407783269882,3.005605459213257,-0.7361745238304138,-0.06855234503746033
12,0.054716404527425766,0.3657715618610382,0.38653382658958435,-0.022240551188588142,-0.9683594107627869,0.24765118956565857,0.021315615624189377,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.006930767558515072,0.0018873396329581738,-0.00356225180439651,0.0009005556930787861,-0.0024062131997197866,-0.02032588981091976,2.9998557567596436,-0.7671910524368286,-0.06603298336267471
13,0.06133798882365227,0.36756473779678345,0.38311541080474854,-0.021309033036231995,-0.965798556804657,0.2575955390930176,0.020583197474479675,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.00662165367975831,0.0017932140035554767,-0.0034184360411018133,0.0009033283567987382,-0.002213012194260955,-0.020535573363304138,2.993661880493164,-0.7984628677368164,-0.06380126625299454
14,0.06766253709793091,0.3692675530910492,0.3798362612724304,-0.020397158339619637,-0.9631065726280212,0.2676047682762146,0.019936377182602882,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.006324611604213715,0.00170285371132195,-0.0032791702542454004,0.000901676423382014,-0.002035036450251937,-0.020731255412101746,2.987017869949341,-0.8299607038497925,-0.061831533908843994
15,0.07370182871818542,0.3708837032318115,0.37669187784194946,-0.01950564980506897,-0.960283100605011,0.27767041325569153,0.019367262721061707,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.006039394997060299,0.001616191933862865,-0.0031444525811821222,0.0008960646227933466,-0.0018713944591581821,-0.0209128949791193,2.9799208641052246,-0.8616589903831482,-0.060099974274635315
16,0.07946763187646866,0.3724168837070465,0.3736775815486908,-0.01863534189760685,-0.9573279619216919,0.2877846658229828,0.018868517130613327,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.005765745881944895,0.0015331589384004474,-0.003014271380379796,0.0008868315489962697,-0.0017211716622114182,-0.021080557256937027,2.972368001937866,-0.8935301899909973,-0.058584023267030716
17,0.08497107774019241,0.3738705813884735,0.37078896164894104,-0.017787666991353035,-0.9542412161827087,0.2979390025138855,0.018433185294270515,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.005503369495272636,0.0014536770759150386,-0.0028885863721370697,0.000874352001119405,-0.0015834852820262313,-0.021234434098005295,2.9643571376800537,-0.9255489706993103,-0.05726275593042374
18,0.09022295475006104,0.3752482235431671,0.3680216670036316,-0.016962505877017975,-0.9510233402252197,0.3081247806549072,0.01805477775633335,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.005251971539109945,0.0013776662526652217,-0.0027673577424138784,0.0008590871002525091,-0.001457502250559628,-0.021374771371483803,2.955888032913208,-0.9576875567436218,-0.056116390973329544
19,0.09523409605026245,0.3765532374382019,0.3653711974620819,-0.016160577535629272,-0.9476749300956726,0.3183346390724182,0.01772737316787243,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0050112465396523476,0.0013050449779257178,-0.0026505303103476763,0.0008412919705733657,-0.001342359115369618,-0.021501917392015457,2.9469616413116455,-0.9899183511734009,-0.05512647703289986
20,0.10001509636640549,0.3777889907360077,0.3628331124782562,-0.01538187824189663,-0.9441962242126465,0.3285614550113678,0.017445513978600502,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.004780861549079418,0.0012357195373624563,-0.0025380311999469995,0.0008213440887629986,-0.001237277640029788,-0.02161627635359764,2.93757963180542,-1.022217869758606,-0.05427626147866249
21,0.10457547008991241,0.3789585530757904,0.3604033887386322,-0.014626414515078068,-0.940588653087616,0.3387964963912964,0.017203936353325844,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.004560471978038549,0.0011695969151332974,-0.0024297749623656273,0.0007995261112228036,-0.0011414941400289536,-0.021718308329582214,2.927743434906006,-1.054563045501709,-0.05355030298233032
22,0.10892514139413834,0.38006511330604553,0.3580777645111084,-0.013894305564463139,-0.9368532299995422,0.3490332067012787,0.01699802093207836,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.004349765367805958,0.0011065836297348142,-0.0023256849963217974,0.0007761056767776608,-0.001054263673722744,-0.021808495745062828,2.9174575805664062,-1.0869264602661133,-0.052933719009160995
23,0.1130734533071518,0.38111165165901184,0.3558521270751953,-0.013185073621571064,-0.9329908490180969,0.3592647612094879,0.01682347245514393,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.004148390609771013,0.001046581193804741,-0.0022256607189774513,0.0007513738819397986,-0.0009749132441356778,-0.02188734896481037,2.9067256450653076,-1.1192874908447266,-0.052413515746593475
24,0.11702940613031387,0.3821011483669281,0.35372254252433777,-0.012498844414949417,-0.929003119468689,0.3694846034049988,0.016676360741257668,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.003956011962145567,0.0009894906543195248,-0.002129599917680025,0.0007255321834236383,-0.0009027823689393699,-0.02195541001856327,2.895551919937134,-1.1516242027282715,-0.051977597177028656
25,0.12080167233943939,0.383036345243454,0.35168513655662537,-0.011835135519504547,-0.9248914122581482,0.37968647480010986,0.01655310019850731,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.003772292286157608,0.0009352084016427398,-0.0020373971201479435,0.0006988485110923648,-0.0008372786687687039,-0.022013207897543907,2.8839409351348877,-1.1839158535003662,-0.0516149178147316
26,0.12439857423305511,0.38391998410224915,0.34973618388175964,-0.011193593963980675,-0.9206573367118835,0.3898642659187317,0.016450421884655952,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.003596900263801217,0.0008836363558657467,-0.0019489431288093328,0.000671503075864166,-0.0007778268773108721,-0.02206128090620041,2.871898889541626,-1.2161427736282349,-0.05131544545292854
27,0.12782810628414154,0.38475465774536133,0.3478720486164093,-0.010573742911219597,-0.9163026213645935,0.40001246333122253,0.01636536978185177,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0034295092336833477,0.0008346723625436425,-0.0018641258357092738,0.0006436841213144362,-0.0007238948019221425,-0.02210015244781971,2.859431743621826,-1.2482861280441284,-0.05107003450393677
28,0.1310979425907135,0.3855428695678711,0.3460891842842102,-0.009974866174161434,-0.9118289947509766,0.4101255536079407,0.016295265406370163,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.003269798122346401,0.0007882158388383687,-0.001782832434400916,0.0006155495066195726,-0.0006749888998456299,-0.02213035337626934,2.846545934677124,-1.280328392982483,-0.05087043344974518
29,0.13421545922756195,0.38628703355789185,0.34438422322273254,-0.009396609850227833,-0.9072383642196655,0.42019832134246826,0.016237683594226837,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0031174542382359505,0.0007441667839884758,-0.0017049453454092145,0.0005872161709703505,-0.0006306409486569464,-0.022152375429868698,2.8332483768463135,-1.3122520446777344,-0.05070914328098297
30,0.13718768954277039,0.3869895040988922,0.3427538573741913,-0.008838494308292866,-0.9025327563285828,0.43022605776786804,0.016190456226468086,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0029721709433943033,0.0007024264778010547,-0.0016303505981341004,0.0005588351050391793,-0.0005904322606511414,-0.02216670848429203,2.8195464611053467,-1.344041347503662,-0.05057945102453232
31,0.1400213986635208,0.3876524269580841,0.34119489789009094,-0.008299808017909527,-0.8977140784263611,0.4402041435241699,0.016151634976267815,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0028336516115814447,0.0006628977134823799,-0.001558931777253747,0.0005305315717123449,-0.0005539754056371748,-0.022173818200826645,2.8054471015930176,-1.3756811618804932,-0.050475332885980606
32,0.14272306859493256,0.38827791810035706,0.339704304933548,-0.0077799535356462,-0.8927845358848572,0.45012831687927246,0.01611947827041149,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0027016059029847383,0.0006254839827306569,-0.0014905744465067983,0.0005023895064368844,-0.0005209010560065508,-0.02217414788901806,2.7909584045410156,-1.407157301902771,-0.050391387194395065
33,0.14529888331890106,0.3888680040836334,0.3382790982723236,-0.007278334349393845,-0.8877461552619934,0.45999443531036377,0.01609242893755436,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0025757530238479376,0.000590093492064625,-0.0014251647517085075,0.00047449380508624017,-0.0004908758564852178,-0.0221681110560894,2.776087999343872,-1.4384562969207764,-0.05032280460000038
34,0.1477547436952591,0.3894246518611908,0.3369164764881134,-0.006794714834541082,-0.8826010823249817,0.46979883313179016,0.01606912352144718,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0024558224249631166,0.0005566345644183457,-0.0013625904684886336,0.0004469206905923784,-0.00046359538100659847,-0.022156111896038055,2.760843276977539,-1.469565510749817,-0.05026531219482422
35,0.1500963270664215,0.3899496793746948,0.3356136977672577,-0.006328020244836807,-0.8773516416549683,0.4795379042625427,0.01604834385216236,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0023415524046868086,0.0005250172689557076,-0.001302742981351912,0.0004197835805825889,-0.0004387983644846827,-0.022138522937893867,2.745232582092285,-1.5004730224609375,-0.05021516606211662
36,0.15232902765274048,0.3904448449611664,0.33436816930770874,-0.005877775140106678,-0.8719999194145203,0.48920825123786926,0.016029024496674538,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0022326894104480743,0.0004951536539010704,-0.0012455135583877563,0.00039307726547122,-0.00041620610863901675,-0.022115692496299744,2.729264974594116,-1.5311681032180786,-0.050169043242931366
