time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/entropy_loss,train/approx_kl,train/std,train/loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
50855936,2824,18006,97,0.0001,0.001263865720375179,-6.97090226598084,0.004003831,0.7787205576896667,-0.07033012807369232,0.028822660446166992,-0.0012185259631678491,0.42996448278427124,0.2,768,360.0,-0.3042306287679821
51380224,2847,18043,98,0.0001,9.692022973695202e-05,-6.842749552801251,0.007201652,0.7561892867088318,-0.07750970870256424,0.045210838317871094,-0.007236240668589744,0.8382215350866318,0.2,776,360.0,-0.3042306287679821
51904512,2870,18080,99,0.0001,0.0013795283816762094,-6.756908658891916,0.0036674973,0.7514022588729858,-0.06864165514707565,0.01971578598022461,-0.000908177639985297,0.6133892238140106,0.2,784,360.0,-0.3042306287679821
52428800,2894,18116,100,0.0001,0.00012005690774685718,-6.66156049259007,0.0062286872,0.7355262637138367,-0.07489079236984253,0.04854846000671387,-0.005539967264212464,0.8912272229790688,0.2,792,360.0,-0.3042306287679821
52953088,2917,18151,101,0.0001,0.0013937588414592028,-6.593320418149233,0.0036464653,0.7317099571228027,-0.06665617227554321,0.02205801010131836,-0.000863501883486606,0.6287756264209747,0.2,800,360.0,-0.3042306287679821
53477376,2941,18179,102,0.0001,0.00013243035186860652,-6.510416680946946,0.005542786,0.7178462743759155,-0.06939402967691422,0.03973793983459473,-0.004073507530392817,0.8874175250530243,0.2,808,360.0,-0.1317058487702161
54001664,2964,18213,103,0.0001,0.0009488469531788724,-6.4404747150838375,0.003964152,0.7129265666007996,-0.06610488891601562,0.02691936492919922,-0.0010716271031014912,0.4926074743270874,0.2,816,360.0,-0.1317058487702161
54525952,2988,18247,104,0.0001,9.319987029243748e-05,-6.325997736304998,0.006655489,0.6951121091842651,-0.07101508229970932,0.04690361022949219,-0.006091968631153577,0.8456831127405167,0.2,824,360.0,-0.1317058487702161
55050240,3011,18280,105,0.0001,0.0011788985366365523,-6.252993475645781,0.0036657564,0.6918628215789795,-0.06418399512767792,0.027944564819335938,-0.0009417152202786383,0.68378746509552,0.2,832,360.0,-0.1317058487702161
55574528,3034,18313,106,0.0001,0.0001003107934423042,-6.153714932501316,0.00605359,0.6756584048271179,-0.06792633980512619,0.03540182113647461,-0.004435048193954572,0.899857185781002,0.2,840,360.0,-0.1317058487702161
56098816,3058,18339,107,0.0001,0.0004242800338261077,-6.058551399037242,0.004240878,0.6683101058006287,-0.06360991299152374,0.03292679786682129,-0.0018211726642221038,0.8772453293204308,0.2,848,360.0,0.011621951591223478
56623104,3082,18371,108,0.0001,0.001233057293575257,-6.019034268334508,0.0038240503,0.6661792993545532,-0.0596620999276638,0.023431777954101562,-0.0004334715674758627,0.4590801000595093,0.2,856,360.0,0.011621951591223478
57147392,3105,18403,109,0.0001,5.765215567521409e-05,-5.902419628575444,0.0074890372,0.6478445529937744,-0.06698805838823318,0.053206443786621094,-0.00698266971198791,0.8919726684689522,0.2,864,360.0,0.011621951591223478
57671680,3128,18434,110,0.0001,0.0014062247578294773,-5.8351967465132475,0.0035641731,0.6463737487792969,-0.0585017055273056,0.022482872009277344,-0.0004978336687599949,0.548945963382721,0.2,872,360.0,0.011621951591223478
58195968,3151,18464,111,0.0001,9.883330503157595e-05,-5.75436300970614,0.0060867677,0.6334384679794312,-0.0639280155301094,0.04128289222717285,-0.004031917875636282,0.9160638973116875,0.2,880,360.0,0.011621951591223478
58720256,3174,18494,112,0.0001,0.001290222568968602,-5.697995321825147,0.0036388077,0.6319527626037598,-0.056835804134607315,0.021120548248291016,-0.0005196577106971745,0.5905449986457825,0.2,888,360.0,0.011621951591223478
59244544,3199,18517,113,0.0001,0.00010234540036435646,-5.627925870940089,0.0052902037,0.6208140850067139,-0.06081458553671837,0.040090084075927734,-0.003337042618113628,0.9021264761686325,0.2,896,360.0,0.1021629083994776
59768832,3222,18546,114,0.0001,0.0009404872148479626,-5.571197489276528,0.0039680777,0.6184723377227783,-0.05700584873557091,0.027477502822875977,-0.0005192124469886039,0.4594794511795044,0.2,904,360.0,0.1021629083994776
60293120,3245,18575,115,0.0001,6.456188388881401e-05,-5.464684510603547,0.0066438117,0.6031542420387268,-0.05970393493771553,0.04275965690612793,-0.005156521317076113,0.8255659341812134,0.2,912,360.0,0.1021629083994776
60817408,3268,18604,116,0.0001,0.001233228545061138,-5.401815254241228,0.0035782661,0.601895809173584,-0.05465453863143921,0.02476954460144043,-0.00037724394110227877,0.5588300824165344,0.2,920,360.0,0.1021629083994776
61341696,3292,18631,117,0.0001,8.013161925646273e-05,-5.3310347609221935,0.0048989197,0.5913093686103821,-0.05691593885421753,0.03261375427246094,-0.002944184562011287,0.8815142959356308,0.2,928,360.0,0.1021629083994776
61865984,3315,18659,118,0.0001,0.0013471346196638478,-5.27872952632606,0.0035497916,0.589961588382721,-0.05314226448535919,0.026925086975097656,-0.0004566512359360786,0.5956840217113495,0.2,936,360.0,0.1021629083994776
62390272,3339,18680,119,0.0001,8.706498007882146e-05,-5.216199105605483,0.004814847,0.5808901190757751,-0.054810043424367905,0.03252887725830078,-0.00252273791738844,0.8955415189266205,0.2,944,360.0,0.18865070143714546
62914560,3363,18706,120,0.0001,0.0006924627164153208,-5.166791645810008,0.0043077962,0.5791447162628174,-0.052376341074705124,0.03434276580810547,-0.0007330821146069866,0.5416088700294495,0.2,952,360.0,0.18865070143714546
63438848,3386,18732,121,0.0001,0.0011382089614926372,-5.1524546425789595,0.0032196688,0.5780873894691467,-0.05268652364611626,0.01991415023803711,-0.00027333861419265304,0.25057685375213623,0.2,960,360.0,0.18865070143714546
63963136,3409,18759,122,0.0001,0.00015091728624838652,-5.097911030054092,0.0045275106,0.5702893733978271,-0.05399656295776367,0.03390932083129883,-0.0024593325283603917,0.929462306201458,0.2,968,360.0,0.18865070143714546
64487424,3432,18785,123,0.0001,0.001409024990607577,-5.062559053301811,0.0035331887,0.569573163986206,-0.05147086828947067,0.022096872329711914,-9.860024761110253e-05,0.49930185079574585,0.2,976,360.0,0.18865070143714546
65011712,3457,18803,124,0.0001,0.00012323399351998887,-5.000660564750433,0.0046538096,0.5605412721633911,-0.05266760289669037,0.0351407527923584,-0.0025466296185641113,0.9279570579528809,0.2,984,360.0,0.22993870673992206
65536000,3480,18828,125,0.0001,0.0009859372189566784,-4.957613956183195,0.0038400507,0.5596441030502319,-0.05070507153868675,0.02706122398376465,-0.000341069647902259,0.45512855052948,0.2,992,360.0,0.22993870673992206
66060288,3503,18853,126,0.0001,4.785521912253898e-05,-4.855538308620453,0.0063986164,0.5458799600601196,-0.05292394757270813,0.04531121253967285,-0.004908245937940592,0.8293919116258621,0.2,1000,360.0,0.22993870673992206
66584576,3527,18877,127,0.0001,0.0011993008029094199,-4.800688937306404,0.0037810872,0.5454087257385254,-0.04842835292220116,0.023862600326538086,-0.0002751666363565164,0.5134951174259186,0.2,1008,360.0,0.22993870673992206
