time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
524288,30,17075,1,,,,,,,,,,,,,
1048576,61,17117,2,-9.975062012672424,0.044542789459228516,0.03826846530864714,8,0.0001,0.2,0.0056574782,-4.110796928405762,-0.004124372424939793,-0.10190737247467041,1.009268045425415,,
1572864,91,17158,3,-10.055171929299831,0.01868128776550293,0.005934283275564667,16,0.0001,0.2,0.003719589,-0.13418197631835938,-0.0015327202288517583,-0.10158952325582504,1.0220947265625,,
2097152,122,17090,4,-10.121123623102903,0.014011144638061523,0.00371564117995149,24,0.0001,0.2,0.0032168198,0.31317079067230225,-0.0013162243490114633,-0.10323243588209152,1.0299121141433716,,
2621440,154,17019,5,-10.165220402181149,0.015417098999023438,0.003455309529272199,32,0.0001,0.2,0.0034424777,0.25150859355926514,-0.0013899850341658748,-0.10293220728635788,1.0358318090438843,,
3145728,185,16972,6,-10.203605823218822,0.017609357833862305,0.002596865700070339,40,0.0001,0.2,0.0035399245,0.4177214503288269,-0.0015589391805406194,-0.10371574759483337,1.041804313659668,-3.522465078830719,360.0
3670016,218,16788,7,-10.239860698580742,0.024902820587158203,0.002455749856380862,48,0.0001,0.2,0.004122424,0.3174724578857422,-0.002144684271343067,-0.10460569709539413,1.047045350074768,-3.522465078830719,360.0
4194304,251,16658,8,-10.273623425513506,0.031100034713745117,0.0016585148696321994,56,0.0001,0.2,0.0045150192,0.4627055525779724,-0.0026962875931531016,-0.10581140965223312,1.0525463819503784,-3.522465078830719,360.0
4718592,284,16560,9,-10.315265618264675,0.02410411834716797,0.002261788346004323,64,0.0001,0.2,0.0039423984,0.373443603515625,-0.0020366159883451473,-0.1050494834780693,1.0592546463012695,-3.522465078830719,360.0
5242880,318,16486,10,-10.353501707315445,0.02931499481201172,0.0018106368011103768,72,0.0001,0.2,0.004092728,0.5072794258594513,-0.0026190301816768624,-0.10588914155960083,1.0649470090866089,-3.522465078830719,360.0
5767168,351,16396,11,-10.386326532810926,0.0322265625,0.002032556292761001,80,0.0001,0.2,0.0042638644,0.4177681803703308,-0.0028767062685801648,-0.10743989795446396,1.0696723461151123,-3.522465078830719,360.0
6291456,386,16281,12,-10.411744188517332,0.03508734703063965,0.001617818439626717,88,0.0001,0.2,0.004525463,0.5507784485816956,-0.003246083567773894,-0.10700636357069016,1.0735251903533936,-3.409778473377228,360.0
